Name,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Price
Maruti Alto K10,2017,11705,Petrol,Manual,Second,375000
Hyundai Grand i10,2016,65016,Petrol,Manual,First,513000
Maruti Alto 800,2012,40758,Petrol,Manual,First,281000
Datsun Redi Go,2017,64902,Petrol,Manual,First,302000
Maruti Ritz,2011,52985,Petrol,Manual,Second,332000
Maruti Swift,2014,73938,Diesel,Manual,First,504000
Maruti Alto 800,2016,32018,Petrol,Manual,Second,309000
HYUNDAI VERNA,2017,57506,Petrol,Automatic,First,832000
Maruti Alto 800,2012,55429,Petrol,Manual,Second,271000
Hyundai i20,2012,45676,Petrol,Manual,Second,402000
Maruti Swift Dzire,2013,46749,Petrol,Manual,First,525000
Maruti SWIFT DZIRE,2013,37001,Petrol,Manual,Second,468000
Tata Tiago,2019,29493,Petrol,Manual,First,582000
Hyundai Eon,2012,47973,Petrol,Manual,First,236000
Maruti Swift,2018,56410,Petrol,Automatic,First,750000
Tata Tiago,2017,80081,Petrol,Automatic,First,451000
Hyundai i10,2012,37522,Petrol,Automatic,First,400000
Hyundai VENUE,2021,4008,Petrol,Manual,First,957000
Maruti Swift,2012,23815,Petrol,Manual,First,524000
Toyota Etios Liva,2012,33809,Petrol,Manual,First,351000
Maruti Alto K10,2017,11705,Petrol,Manual,Second,375000
Hyundai Grand i10,2016,65016,Petrol,Manual,First,513000
Maruti Alto 800,2012,40758,Petrol,Manual,First,281000
Datsun Redi Go,2017,64902,Petrol,Manual,First,302000
Maruti Ritz,2011,52985,Petrol,Manual,Second,332000
Maruti Swift,2014,73938,Diesel,Manual,First,504000
Maruti Alto 800,2016,32018,Petrol,Manual,Second,309000
HYUNDAI VERNA,2017,57506,Petrol,Automatic,First,832000
Maruti Alto 800,2012,55429,Petrol,Manual,Second,271000
Hyundai i20,2012,45676,Petrol,Manual,Second,402000
Maruti Swift Dzire,2013,46749,Petrol,Manual,First,525000
Maruti SWIFT DZIRE,2013,37001,Petrol,Manual,Second,468000
Tata Tiago,2019,29493,Petrol,Manual,First,582000
Hyundai Eon,2012,47973,Petrol,Manual,First,236000
Maruti Swift,2018,56410,Petrol,Automatic,First,750000
Tata Tiago,2017,80081,Petrol,Automatic,First,451000
Hyundai i10,2012,37522,Petrol,Automatic,First,400000
Hyundai VENUE,2021,4008,Petrol,Manual,First,957000
Maruti Swift,2012,23815,Petrol,Manual,First,524000
Toyota Etios Liva,2012,33809,Petrol,Manual,First,351000
Maruti Alto K10,2017,11705,Petrol,Manual,Second,375000
Hyundai Grand i10,2016,65016,Petrol,Manual,First,513000
Maruti Alto 800,2012,40758,Petrol,Manual,First,281000
Datsun Redi Go,2017,64902,Petrol,Manual,First,302000
Maruti Ritz,2011,52985,Petrol,Manual,Second,332000
Maruti Swift,2014,73938,Diesel,Manual,First,504000
Maruti Alto 800,2016,32018,Petrol,Manual,Second,309000
HYUNDAI VERNA,2017,57506,Petrol,Automatic,First,832000
Maruti Alto 800,2012,55429,Petrol,Manual,Second,271000
Hyundai i20,2012,45676,Petrol,Manual,Second,402000
Maruti Swift Dzire,2013,46749,Petrol,Manual,First,525000
Maruti SWIFT DZIRE,2013,37001,Petrol,Manual,Second,468000
Tata Tiago,2019,29493,Petrol,Manual,First,582000
Hyundai Eon,2012,47973,Petrol,Manual,First,236000
Maruti Swift,2018,56410,Petrol,Automatic,First,750000
Tata Tiago,2017,80081,Petrol,Automatic,First,451000
Hyundai i10,2012,37522,Petrol,Automatic,First,400000
Hyundai VENUE,2021,4008,Petrol,Manual,First,957000
Maruti Swift,2012,23815,Petrol,Manual,First,524000
Toyota Etios Liva,2012,33809,Petrol,Manual,First,351000
Maruti Alto K10,2017,11705,Petrol,Manual,Second,375000
Hyundai Grand i10,2016,65016,Petrol,Manual,First,513000
Maruti Alto 800,2012,40758,Petrol,Manual,First,281000
Datsun Redi Go,2017,64902,Petrol,Manual,First,302000
Maruti Ritz,2011,52985,Petrol,Manual,Second,332000
Maruti Swift,2014,73938,Diesel,Manual,First,504000
Maruti Alto 800,2016,32018,Petrol,Manual,Second,309000
HYUNDAI VERNA,2017,57506,Petrol,Automatic,First,832000
Maruti Alto 800,2012,55429,Petrol,Manual,Second,271000
Hyundai i20,2012,45676,Petrol,Manual,Second,402000
Maruti Swift Dzire,2013,46749,Petrol,Manual,First,525000
Maruti SWIFT DZIRE,2013,37001,Petrol,Manual,Second,468000
Tata Tiago,2019,29493,Petrol,Manual,First,582000
Hyundai Eon,2012,47973,Petrol,Manual,First,236000
Maruti Swift,2018,56410,Petrol,Automatic,First,750000
Tata Tiago,2017,80081,Petrol,Automatic,First,451000
Hyundai i10,2012,37522,Petrol,Automatic,First,400000
Hyundai VENUE,2021,4008,Petrol,Manual,First,957000
Maruti Swift,2012,23815,Petrol,Manual,First,524000
Toyota Etios Liva,2012,33809,Petrol,Manual,First,351000
Maruti Alto K10,2017,11705,Petrol,Manual,Second,375000
Hyundai Grand i10,2016,65016,Petrol,Manual,First,513000
Maruti Alto 800,2012,40758,Petrol,Manual,First,281000
Datsun Redi Go,2017,64902,Petrol,Manual,First,302000
Maruti Ritz,2011,52985,Petrol,Manual,Second,332000
Maruti Swift,2014,73938,Diesel,Manual,First,504000
Maruti Alto 800,2016,32018,Petrol,Manual,Second,309000
HYUNDAI VERNA,2017,57506,Petrol,Automatic,First,832000
Maruti Alto 800,2012,55429,Petrol,Manual,Second,271000
Hyundai i20,2012,45676,Petrol,Manual,Second,402000
Maruti Swift Dzire,2013,46749,Petrol,Manual,First,525000
Maruti SWIFT DZIRE,2013,37001,Petrol,Manual,Second,468000
Tata Tiago,2019,29493,Petrol,Manual,First,582000
Hyundai Eon,2012,47973,Petrol,Manual,First,236000
Maruti Swift,2018,56410,Petrol,Automatic,First,750000
Tata Tiago,2017,80081,Petrol,Automatic,First,451000
Hyundai i10,2012,37522,Petrol,Automatic,First,400000
Hyundai VENUE,2021,4008,Petrol,Manual,First,957000
Maruti Swift,2012,23815,Petrol,Manual,First,524000
Toyota Etios Liva,2012,33809,Petrol,Manual,First,351000
Maruti Alto K10,2017,11705,Petrol,Manual,Second,375000
Hyundai Grand i10,2016,65016,Petrol,Manual,First,513000
Maruti Alto 800,2012,40758,Petrol,Manual,First,281000
Datsun Redi Go,2017,64902,Petrol,Manual,First,302000
Maruti Ritz,2011,52985,Petrol,Manual,Second,332000
Maruti Swift,2014,73938,Diesel,Manual,First,504000
Maruti Alto 800,2016,32018,Petrol,Manual,Second,309000
HYUNDAI VERNA,2017,57506,Petrol,Automatic,First,832000
Maruti Alto 800,2012,55429,Petrol,Manual,Second,271000
Hyundai i20,2012,45676,Petrol,Manual,Second,402000
Maruti Swift Dzire,2013,46749,Petrol,Manual,First,525000
Maruti SWIFT DZIRE,2013,37001,Petrol,Manual,Second,468000
Tata Tiago,2019,29493,Petrol,Manual,First,582000
Hyundai Eon,2012,47973,Petrol,Manual,First,236000
Maruti Swift,2018,56410,Petrol,Automatic,First,750000
Tata Tiago,2017,80081,Petrol,Automatic,First,451000
Hyundai i10,2012,37522,Petrol,Automatic,First,400000
Hyundai VENUE,2021,4008,Petrol,Manual,First,957000
Maruti Swift,2012,23815,Petrol,Manual,First,524000
Toyota Etios Liva,2012,33809,Petrol,Manual,First,351000
Maruti Alto K10,2017,11705,Petrol,Manual,Second,375000
Hyundai Grand i10,2016,65016,Petrol,Manual,First,513000
Maruti Alto 800,2012,40758,Petrol,Manual,First,281000
Datsun Redi Go,2017,64902,Petrol,Manual,First,302000
Maruti Ritz,2011,52985,Petrol,Manual,Second,332000
Maruti Swift,2014,73938,Diesel,Manual,First,504000
Maruti Alto 800,2016,32018,Petrol,Manual,Second,309000
HYUNDAI VERNA,2017,57506,Petrol,Automatic,First,832000
Maruti Alto 800,2012,55429,Petrol,Manual,Second,271000
Hyundai i20,2012,45676,Petrol,Manual,Second,402000
Maruti Swift Dzire,2013,46749,Petrol,Manual,First,525000
Maruti SWIFT DZIRE,2013,37001,Petrol,Manual,Second,468000
Tata Tiago,2019,29493,Petrol,Manual,First,582000
Hyundai Eon,2012,47973,Petrol,Manual,First,236000
Maruti Swift,2018,56410,Petrol,Automatic,First,750000
Tata Tiago,2017,80081,Petrol,Automatic,First,451000
Hyundai i10,2012,37522,Petrol,Automatic,First,400000
Hyundai VENUE,2021,4008,Petrol,Manual,First,957000
Maruti Swift,2012,23815,Petrol,Manual,First,524000
Toyota Etios Liva,2012,33809,Petrol,Manual,First,351000
Maruti Alto K10,2017,11705,Petrol,Manual,Second,375000
Hyundai Grand i10,2016,65016,Petrol,Manual,First,513000
Maruti Alto 800,2012,40758,Petrol,Manual,First,281000
Datsun Redi Go,2017,64902,Petrol,Manual,First,302000
Maruti Ritz,2011,52985,Petrol,Manual,Second,332000
Maruti Swift,2014,73938,Diesel,Manual,First,504000
Maruti Alto 800,2016,32018,Petrol,Manual,Second,309000
HYUNDAI VERNA,2017,57506,Petrol,Automatic,First,832000
Maruti Alto 800,2012,55429,Petrol,Manual,Second,271000
Hyundai i20,2012,45676,Petrol,Manual,Second,402000
Maruti Swift Dzire,2013,46749,Petrol,Manual,First,525000
Maruti SWIFT DZIRE,2013,37001,Petrol,Manual,Second,468000
Tata Tiago,2019,29493,Petrol,Manual,First,582000
Hyundai Eon,2012,47973,Petrol,Manual,First,236000
Maruti Swift,2018,56410,Petrol,Automatic,First,750000
Tata Tiago,2017,80081,Petrol,Automatic,First,451000
Hyundai i10,2012,37522,Petrol,Automatic,First,400000
Hyundai VENUE,2021,4008,Petrol,Manual,First,957000
Maruti Swift,2012,23815,Petrol,Manual,First,524000
Toyota Etios Liva,2012,33809,Petrol,Manual,First,351000
Maruti Alto K10,2017,11705,Petrol,Manual,Second,375000
Hyundai Grand i10,2016,65016,Petrol,Manual,First,513000
Maruti Alto 800,2012,40758,Petrol,Manual,First,281000
Datsun Redi Go,2017,64902,Petrol,Manual,First,302000
Maruti Ritz,2011,52985,Petrol,Manual,Second,332000
Maruti Swift,2014,73938,Diesel,Manual,First,504000
Maruti Alto 800,2016,32018,Petrol,Manual,Second,309000
HYUNDAI VERNA,2017,57506,Petrol,Automatic,First,832000
Maruti Alto 800,2012,55429,Petrol,Manual,Second,271000
Hyundai i20,2012,45676,Petrol,Manual,Second,402000
Maruti Swift Dzire,2013,46749,Petrol,Manual,First,525000
Maruti SWIFT DZIRE,2013,37001,Petrol,Manual,Second,468000
Tata Tiago,2019,29493,Petrol,Manual,First,582000
Hyundai Eon,2012,47973,Petrol,Manual,First,236000
Maruti Swift,2018,56410,Petrol,Automatic,First,750000
Tata Tiago,2017,80081,Petrol,Automatic,First,451000
Hyundai i10,2012,37522,Petrol,Automatic,First,400000
Hyundai VENUE,2021,4008,Petrol,Manual,First,957000
Maruti Swift,2012,23815,Petrol,Manual,First,524000
Toyota Etios Liva,2012,33809,Petrol,Manual,First,351000
Maruti Alto K10,2017,11705,Petrol,Manual,Second,375000
Hyundai Grand i10,2016,65016,Petrol,Manual,First,513000
Maruti Alto 800,2012,40758,Petrol,Manual,First,281000
Datsun Redi Go,2017,64902,Petrol,Manual,First,302000
Maruti Ritz,2011,52985,Petrol,Manual,Second,332000
Maruti Swift,2014,73938,Diesel,Manual,First,504000
Maruti Alto 800,2016,32018,Petrol,Manual,Second,309000
HYUNDAI VERNA,2017,57506,Petrol,Automatic,First,832000
Maruti Alto 800,2012,55429,Petrol,Manual,Second,271000
Hyundai i20,2012,45676,Petrol,Manual,Second,402000
Maruti Swift Dzire,2013,46749,Petrol,Manual,First,525000
Maruti SWIFT DZIRE,2013,37001,Petrol,Manual,Second,468000
Tata Tiago,2019,29493,Petrol,Manual,First,582000
Hyundai Eon,2012,47973,Petrol,Manual,First,236000
Maruti Swift,2018,56410,Petrol,Automatic,First,750000
Tata Tiago,2017,80081,Petrol,Automatic,First,451000
Hyundai i10,2012,37522,Petrol,Automatic,First,400000
Hyundai VENUE,2021,4008,Petrol,Manual,First,957000
Maruti Swift,2012,23815,Petrol,Manual,First,524000
Toyota Etios Liva,2012,33809,Petrol,Manual,First,351000
Maruti Alto K10,2017,11705,Petrol,Manual,Second,375000
Hyundai Grand i10,2016,65016,Petrol,Manual,First,513000
Maruti Alto 800,2012,40758,Petrol,Manual,First,281000
Datsun Redi Go,2017,64902,Petrol,Manual,First,302000
Maruti Ritz,2011,52985,Petrol,Manual,Second,332000
Maruti Swift,2014,73938,Diesel,Manual,First,504000
Maruti Alto 800,2016,32018,Petrol,Manual,Second,309000
HYUNDAI VERNA,2017,57506,Petrol,Automatic,First,832000
Maruti Alto 800,2012,55429,Petrol,Manual,Second,271000
Hyundai i20,2012,45676,Petrol,Manual,Second,402000
Maruti Swift Dzire,2013,46749,Petrol,Manual,First,525000
Maruti SWIFT DZIRE,2013,37001,Petrol,Manual,Second,468000
Tata Tiago,2019,29493,Petrol,Manual,First,582000
Hyundai Eon,2012,47973,Petrol,Manual,First,236000
Maruti Swift,2018,56410,Petrol,Automatic,First,750000
Tata Tiago,2017,80081,Petrol,Automatic,First,451000
Hyundai i10,2012,37522,Petrol,Automatic,First,400000
Hyundai VENUE,2021,4008,Petrol,Manual,First,957000
Maruti Swift,2012,23815,Petrol,Manual,First,524000
Toyota Etios Liva,2012,33809,Petrol,Manual,First,351000
Maruti Alto K10,2017,11705,Petrol,Manual,Second,375000
Hyundai Grand i10,2016,65016,Petrol,Manual,First,513000
Maruti Alto 800,2012,40758,Petrol,Manual,First,281000
Datsun Redi Go,2017,64902,Petrol,Manual,First,302000
Maruti Ritz,2011,52985,Petrol,Manual,Second,332000
Maruti Swift,2014,73938,Diesel,Manual,First,504000
Maruti Alto 800,2016,32018,Petrol,Manual,Second,309000
HYUNDAI VERNA,2017,57506,Petrol,Automatic,First,832000
Maruti Alto 800,2012,55429,Petrol,Manual,Second,271000
Hyundai i20,2012,45676,Petrol,Manual,Second,402000
Maruti Swift Dzire,2013,46749,Petrol,Manual,First,525000
Maruti SWIFT DZIRE,2013,37001,Petrol,Manual,Second,468000
Tata Tiago,2019,29493,Petrol,Manual,First,582000
Hyundai Eon,2012,47973,Petrol,Manual,First,236000
Maruti Swift,2018,56410,Petrol,Automatic,First,750000
Tata Tiago,2017,80081,Petrol,Automatic,First,451000
Hyundai i10,2012,37522,Petrol,Automatic,First,400000
Hyundai VENUE,2021,4008,Petrol,Manual,First,957000
Maruti Swift,2012,23815,Petrol,Manual,First,524000
Toyota Etios Liva,2012,33809,Petrol,Manual,First,351000
Maruti Alto K10,2017,11705,Petrol,Manual,Second,375000
Hyundai Grand i10,2016,65016,Petrol,Manual,First,513000
Maruti Alto 800,2012,40758,Petrol,Manual,First,281000
Datsun Redi Go,2017,64902,Petrol,Manual,First,302000
Maruti Ritz,2011,52985,Petrol,Manual,Second,332000
Maruti Swift,2014,73938,Diesel,Manual,First,504000
Maruti Alto 800,2016,32018,Petrol,Manual,Second,309000
HYUNDAI VERNA,2017,57506,Petrol,Automatic,First,832000
Maruti Alto 800,2012,55429,Petrol,Manual,Second,271000
Hyundai i20,2012,45676,Petrol,Manual,Second,402000
Maruti Swift Dzire,2013,46749,Petrol,Manual,First,525000
Maruti SWIFT DZIRE,2013,37001,Petrol,Manual,Second,468000
Tata Tiago,2019,29493,Petrol,Manual,First,582000
Hyundai Eon,2012,47973,Petrol,Manual,First,236000
Maruti Swift,2018,56410,Petrol,Automatic,First,750000
Tata Tiago,2017,80081,Petrol,Automatic,First,451000
Hyundai i10,2012,37522,Petrol,Automatic,First,400000
Hyundai VENUE,2021,4008,Petrol,Manual,First,957000
Maruti Swift,2012,23815,Petrol,Manual,First,524000
Toyota Etios Liva,2012,33809,Petrol,Manual,First,351000
Maruti Alto K10,2017,11705,Petrol,Manual,Second,375000
Hyundai Grand i10,2016,65016,Petrol,Manual,First,513000
Maruti Alto 800,2012,40758,Petrol,Manual,First,281000
Datsun Redi Go,2017,64902,Petrol,Manual,First,302000
Maruti Ritz,2011,52985,Petrol,Manual,Second,332000
Maruti Swift,2014,73938,Diesel,Manual,First,504000
Maruti Alto 800,2016,32018,Petrol,Manual,Second,309000
HYUNDAI VERNA,2017,57506,Petrol,Automatic,First,832000
Maruti Alto 800,2012,55429,Petrol,Manual,Second,271000
Hyundai i20,2012,45676,Petrol,Manual,Second,402000
Maruti Swift Dzire,2013,46749,Petrol,Manual,First,525000
Maruti SWIFT DZIRE,2013,37001,Petrol,Manual,Second,468000
Tata Tiago,2019,29493,Petrol,Manual,First,582000
Hyundai Eon,2012,47973,Petrol,Manual,First,236000
Maruti Swift,2018,56410,Petrol,Automatic,First,750000
Tata Tiago,2017,80081,Petrol,Automatic,First,451000
Hyundai i10,2012,37522,Petrol,Automatic,First,400000
Hyundai VENUE,2021,4008,Petrol,Manual,First,957000
Maruti Swift,2012,23815,Petrol,Manual,First,524000
Toyota Etios Liva,2012,33809,Petrol,Manual,First,351000
Maruti Alto K10,2017,11705,Petrol,Manual,Second,375000
Hyundai Grand i10,2016,65016,Petrol,Manual,First,513000
Maruti Alto 800,2012,40758,Petrol,Manual,First,281000
Datsun Redi Go,2017,64902,Petrol,Manual,First,302000
Maruti Ritz,2011,52985,Petrol,Manual,Second,332000
Maruti Swift,2014,73938,Diesel,Manual,First,504000
Maruti Alto 800,2016,32018,Petrol,Manual,Second,309000
HYUNDAI VERNA,2017,57506,Petrol,Automatic,First,832000
Maruti Alto 800,2012,55429,Petrol,Manual,Second,271000
Hyundai i20,2012,45676,Petrol,Manual,Second,402000
Maruti Swift Dzire,2013,46749,Petrol,Manual,First,525000
Maruti SWIFT DZIRE,2013,37001,Petrol,Manual,Second,468000
Tata Tiago,2019,29493,Petrol,Manual,First,582000
Hyundai Eon,2012,47973,Petrol,Manual,First,236000
Maruti Swift,2018,56410,Petrol,Automatic,First,750000
Tata Tiago,2017,80081,Petrol,Automatic,First,451000
Hyundai i10,2012,37522,Petrol,Automatic,First,400000
Hyundai VENUE,2021,4008,Petrol,Manual,First,957000
Maruti Swift,2012,23815,Petrol,Manual,First,524000
Toyota Etios Liva,2012,33809,Petrol,Manual,First,351000
Maruti Alto K10,2017,11705,Petrol,Manual,Second,375000
Hyundai Grand i10,2016,65016,Petrol,Manual,First,513000
Maruti Alto 800,2012,40758,Petrol,Manual,First,281000
Datsun Redi Go,2017,64902,Petrol,Manual,First,302000
Maruti Ritz,2011,52985,Petrol,Manual,Second,332000
Maruti Swift,2014,73938,Diesel,Manual,First,504000
Maruti Alto 800,2016,32018,Petrol,Manual,Second,309000
HYUNDAI VERNA,2017,57506,Petrol,Automatic,First,832000
Maruti Alto 800,2012,55429,Petrol,Manual,Second,271000
Hyundai i20,2012,45676,Petrol,Manual,Second,402000
Maruti Swift Dzire,2013,46749,Petrol,Manual,First,525000
Maruti SWIFT DZIRE,2013,37001,Petrol,Manual,Second,468000
Tata Tiago,2019,29493,Petrol,Manual,First,582000
Hyundai Eon,2012,47973,Petrol,Manual,First,236000
Maruti Swift,2018,56410,Petrol,Automatic,First,750000
Tata Tiago,2017,80081,Petrol,Automatic,First,451000
Hyundai i10,2012,37522,Petrol,Automatic,First,400000
Hyundai VENUE,2021,4008,Petrol,Manual,First,957000
Maruti Swift,2012,23815,Petrol,Manual,First,524000
Toyota Etios Liva,2012,33809,Petrol,Manual,First,351000
Maruti Alto K10,2017,11705,Petrol,Manual,Second,375000
Hyundai Grand i10,2016,65016,Petrol,Manual,First,513000
Maruti Alto 800,2012,40758,Petrol,Manual,First,281000
Datsun Redi Go,2017,64902,Petrol,Manual,First,302000
Maruti Ritz,2011,52985,Petrol,Manual,Second,332000
Maruti Swift,2014,73938,Diesel,Manual,First,504000
Maruti Alto 800,2016,32018,Petrol,Manual,Second,309000
HYUNDAI VERNA,2017,57506,Petrol,Automatic,First,832000
Maruti Alto 800,2012,55429,Petrol,Manual,Second,271000
Hyundai i20,2012,45676,Petrol,Manual,Second,402000
Maruti Swift Dzire,2013,46749,Petrol,Manual,First,525000
Maruti SWIFT DZIRE,2013,37001,Petrol,Manual,Second,468000
Tata Tiago,2019,29493,Petrol,Manual,First,582000
Hyundai Eon,2012,47973,Petrol,Manual,First,236000
Maruti Swift,2018,56410,Petrol,Automatic,First,750000
Tata Tiago,2017,80081,Petrol,Automatic,First,451000
Hyundai i10,2012,37522,Petrol,Automatic,First,400000
Hyundai VENUE,2021,4008,Petrol,Manual,First,957000
Maruti Swift,2012,23815,Petrol,Manual,First,524000
Toyota Etios Liva,2012,33809,Petrol,Manual,First,351000
Maruti Alto K10,2017,11705,Petrol,Manual,Second,375000
Hyundai Grand i10,2016,65016,Petrol,Manual,First,513000
Maruti Alto 800,2012,40758,Petrol,Manual,First,281000
Datsun Redi Go,2017,64902,Petrol,Manual,First,302000
Maruti Ritz,2011,52985,Petrol,Manual,Second,332000
Maruti Swift,2014,73938,Diesel,Manual,First,504000
Maruti Alto 800,2016,32018,Petrol,Manual,Second,309000
HYUNDAI VERNA,2017,57506,Petrol,Automatic,First,832000
Maruti Alto 800,2012,55429,Petrol,Manual,Second,271000
Hyundai i20,2012,45676,Petrol,Manual,Second,402000
Maruti Swift Dzire,2013,46749,Petrol,Manual,First,525000
Maruti SWIFT DZIRE,2013,37001,Petrol,Manual,Second,468000
Tata Tiago,2019,29493,Petrol,Manual,First,582000
Hyundai Eon,2012,47973,Petrol,Manual,First,236000
Maruti Swift,2018,56410,Petrol,Automatic,First,750000
Tata Tiago,2017,80081,Petrol,Automatic,First,451000
Hyundai i10,2012,37522,Petrol,Automatic,First,400000
Hyundai VENUE,2021,4008,Petrol,Manual,First,957000
Maruti Swift,2012,23815,Petrol,Manual,First,524000
Toyota Etios Liva,2012,33809,Petrol,Manual,First,351000
Maruti Alto K10,2017,11705,Petrol,Manual,Second,375000
Hyundai Grand i10,2016,65016,Petrol,Manual,First,513000
Maruti Alto 800,2012,40758,Petrol,Manual,First,281000
Datsun Redi Go,2017,64902,Petrol,Manual,First,302000
Maruti Ritz,2011,52985,Petrol,Manual,Second,332000
Maruti Swift,2014,73938,Diesel,Manual,First,504000
Maruti Alto 800,2016,32018,Petrol,Manual,Second,309000
HYUNDAI VERNA,2017,57506,Petrol,Automatic,First,832000
Maruti Alto 800,2012,55429,Petrol,Manual,Second,271000
Hyundai i20,2012,45676,Petrol,Manual,Second,402000
